,date,like,view,tag,content
0,2022-06-04,,조회 0회,"['#범죄도시2', '#절찬상영중', '#마동석', '#DonLEE', '#손석구', '#SONSukku']",여러모로 유죄인간 손석구씨🌸와 염미..ㅈㅓㅇ..아니고 러블리 마블리💖#범죄도시2 #절찬상영중#마동석 #DonLEE #손석구 #SONSukku
1,2022-06-05,"좋아요 1,509개",조회 0회,"['#범죄도시2', '#마동석']",와  얼마만에  극장에서  팝콘 을  먹는거야 ㅎㅎ .마동석씨  원펀치  액션  너무  좋아요~~~.팬이에요 ~~..#범죄도시2 #마동석
2,2022-06-05,좋아요 0개,"조회 6,879회","['#음문석', '#마동석', '#손석구', '#범죄도시2']",2 version SakaBoomm!!!🤣😂❤️🥰aw so cute❤️🥰 •Let’s go!!! 1000만!!!•✨900만✨ 가보자고~~~ 무대인사ing석도랑 해상이랑 음칫~음칫!!!❤️🥰🥳🎬•#음문석 #마동석 #손석구 #범죄도시2
3,2022-06-02,"좋아요 1,399개",조회 0회,"['#Repost', '#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#최귀화', '#허동원', '#하준', '#정재광', '#음문석', '#김찬형', '#DonLee', '#SONSukku*👍🔥...', '#범죄도시2', '#손석구', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지']","#Repost @aboentertainment ——진있다 멋짜,,꽉꽉 채운 상영관 위로 무지개도 뜸🌈비가 온 뒤라 그런가봐염.심장마'비'( ͡~ ͜ʖ ͡°)#범죄도시2 #절찬상영중#마동석 #손석구 #최귀화 #허동원 #하준 #정재광 #음문석 #김찬형 #DonLee #SONSukku*👍🔥...#범죄도시2 TheRoundUpIN THEATERS RIGHT NOW!@sonsukku 🌻 #손석구 #sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지"
4,2022-06-04,좋아요 0개,"조회 5,795회","['#음문석', '#마동석', '#손석구', '#범죄도시2']",가자!!!!!❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥•Posted @withregram • @monsterz_sic ✨900만✨ 가보자고~~~ 무대인사ing석도랑 해상이랑 음칫~음칫!!!❤️🥰🥳🎬•#음문석 #마동석 #손석구 #범죄도시2
5,2022-06-02,"좋아요 14,769개",조회 0회,"['#빅바', '#컬투김태균', '#범죄도시2', '#천만가즈아', '#이홍기', '#마타하리', '#손석구', '#최귀화']",잠시후 컬투쇼 본방사수하실게여 오늘 어마어마 합니다 ...#빅바 #컬투김태균 #범죄도시2 #천만가즈아 #이홍기 #마타하리 #손석구 #최귀화
6,2022-06-04,"좋아요 1,930개",조회 0회,"['#베트남', '#한국', '#범죄도시', '#범죄도시2', '#와', '#대박', '#몰랐음', '#클라스', '#마동석', '#구씨', '#대사', '#명대사', '#영화', '#존잼', '#꿀잼', '#미쳤다', '#비주얼', '#손석구', '#배우', '#유머', '#유머짤', '#좋아요', '#주말', '#룰루랄라', '#영화관']",((넘겨보세요💙)) @lululala_blue 와 다 속았어..🤭 ...#베트남 #한국 #범죄도시 #범죄도시2 #와 #대박 #몰랐음 #클라스 #마동석 #구씨 #대사 #명대사 #영화 #존잼 #꿀잼 #미쳤다 #비주얼 #손석구 #배우 #유머 #유머짤 #좋아요 #주말 #룰루랄라 #영화관
7,2022-06-04,좋아요 0개,"조회 10,762회","['#범죄도시2', '#손석구', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지']",*👍🔥...👉#범죄도시2 TheRoundUpIN THEATERS RIGHT NOW!@sonsukku 🌻 #손석구 #sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지 Cr. @aboentertainment/edit by me
8,2022-06-04,좋아요 774개,조회 0회,[],"구찌 보다 구씨, 드디어 봤다 🤍 10대 때도 20대 때도 안했던 덕질을 30대에 할 줄이야. 지난번 무대인사는 산포 구씨 스타일이었다면 이번 무대인사는 구자경 스타일 🖤 이렇게 멋있을 일인가요. 나의 해방일지 끝나면 나의 사랑도 끝날 줄 알았는데 세상에, 결국 구속 되어버림 🫣😘"
9,2022-06-06,좋아요 0개,조회 0회,"['#범죄도시2', '#완죤재밌음👍']",주말에내가 김밥만들어서엄마와가치떡볶이먹고 #범죄도시2#완죤재밌음👍
10,2022-06-06,좋아요 0개,조회 0회,"['#영화', '#범죄도시2', '#맛있는', '#집밥', '#소고기']",휴일의 하루#영화 데이트#범죄도시2#맛있는 하루#집밥 메뉴#소고기 샤브
11,2022-06-06,좋아요 3개,조회 0회,"['#일상', '#육아', '#아들', '#딸', '#소통', '#힐링', '#범죄도시2', '#극장', '#영화관람', '#주말스타그램', '#외할머니댁', '#롯데시네마', '#데일리룩', '#옷스타그램']",토요일 외할머니댁시골별장을 가지못해 겸사겸사 외할머니댁으로 놀러옴.또!! 온김에 백만년만에 어른영화보러 애들맡김범죄도시2 마동석표 사이다 영화극장에 백만년만에 가니 뒤에 사람들이 의자 발로 차는거 아줌마들단체로 와서 깔깔거리며 대화하고 웃는거 모두 아름다워 보이더라~~!!#일상#육아#아들#딸#소통#힐링#범죄도시2 #극장#영화관람#주말스타그램 #외할머니댁 내돈내산#롯데시네마#데일리룩#옷스타그램
12,2022-06-06,좋아요 3개,조회 0회,"['#손석구', '#sonsukku', '#孙锡久', '#나의해방일지', '#myliberationnotes', '#범죄도시2', '#浪漫的體質', '#bemelodramatic', '#멜로가체질', '#智异山', '#지리산', '#jirisan', '#60일지정생존자', '#마더', '#motherdrama', '#연애빠진로맨스', '#nothingserious', '#최고의이혼', '#TheBestDivorce', '#kdrama', '#kdramas', '#kactor', '#kactors', '#kmovie', '#kmovies']",🤎cr｜jbtcdramaphoto retouching ｜Heichow#손석구 #sonsukku #孙锡久#나의해방일지#myliberationnotes #범죄도시2 #浪漫的體質#bemelodramatic #멜로가체질 #智异山 #지리산 #jirisan #60일지정생존자 #마더 #motherdrama#연애빠진로맨스 #nothingserious #최고의이혼 #TheBestDivorce #kdrama #kdramas#kactor #kactors#kmovie #kmovies
13,2022-06-06,좋아요 1개,조회 0회,"['#작은영화관', '#팝콘영접', '#두찌랑같이보기', '#범죄도시2', '#바로튀긴팝콘바삭', '#오붓한', '#작아서', '#연휴마지막날', '#두찌랑데이트', '#손석구머찜']",작은영화관 이용해보기 .. ...#작은영화관 #팝콘영접 #두찌랑같이보기 #범죄도시2 두번보기 #바로튀긴팝콘바삭 #오붓한 작은영화관 #작아서 작은영화관인거지 #연휴마지막날 #두찌랑데이트 #손석구머찜
14,2022-06-06,좋아요 0개,조회 0회,"['#영화', '#범죄도시2', '#22살', '#힐링❣️']",@fang_0794  영화보고 싶으다ㅠㅠ  #영화#범죄도시2#22살#힐링❣️
