,date,like,view,tag,content
0,2022-06-02,"좋아요 4,645개",0,"['#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#허동원', '#하준', '#정재광', '#음문석', '#김찬형', '#DonLee', '#SONSukku']",<범죄도시2> 무대인사 스타트🚌상영관을 꽉꽉 채운 엄청난 열쩡열쩡❣#범죄도시2 #절찬상영중#마동석 #손석구 #허동원 #하준 #정재광 #음문석 #김찬형 #DonLee #SONSukku
1,2022-06-02,0,"조회 11,487회","['#범죄도시2', '#손석구', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지']",*📽🎞#범죄도시2 TheRoundUpIN THEATERS RIGHT NOW!@sonsukku 🌻 #손석구 #sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지 cr. Vstar/edit by me
2,2022-06-02,"좋아요 7,697개",0,"['#빅바', '#컬투김태균', '#범죄도시2', '#천만가즈아', '#이홍기', '#마타하리', '#손석구', '#최귀화']",잠시후 컬투쇼 본방사수하실게여 오늘 어마어마 합니다 ...#빅바 #컬투김태균 #범죄도시2 #천만가즈아 #이홍기 #마타하리 #손석구 #최귀화
3,2022-06-02,0,"조회 2,572회",['#범죄도시2'],#범죄도시2 구찌보다 구씨한국 온 강해상 눈 앞에서 봤어요
4,2022-06-03,좋아요 103개,0,[],"남편과 휴무 보내기🫶🏻오이도가서 조개구이먹고, 바다앞 카페도 가궁 집 근처에서 범죄도시2 보아따! 소문만큼 유치해졌지만 너무 재밌!!😁쪽갈비로 마무리 성공🫥(둘이 노는게 젤루 조아)"
5,2022-06-02,0,"조회 8,105회","['#손석구', '#sonsukku', '#범죄도시2']",💚 #손석구 #sonsukku #범죄도시2 🙂🙌🏼--응원 야광봉 캐치 👋🏼🚌@sonsukku 💚
6,2022-06-02,좋아요 859개,0,"['#범죄도시2', '#손석구', '#sonsukku', '#孙锡久', '#나의해방일지', '#MyliberationJournal', '#jtbcdrama', '#범죄도시2', '#TheRoundup', '#浪漫的體質', '#bemelodramatic', '#멜로가체질', '#智异山', '#지리산', '#jirisan', '#60일지정생존자', '#마더', '#motherdrama', '#연애빠진로맨스', '#nothingserious', '#kdrama', '#kdramas', '#kmovie', '#kmovies', '#kactor', '#kactors']",❤️‍🔥#범죄도시2 Today！20220602cr｜osen / imbc / dispatch koreaphoto retouching ｜Heichow#손석구 #sonsukku #孙锡久#나의해방일지#MyliberationJournal#jtbcdrama #범죄도시2#TheRoundup#浪漫的體質#bemelodramatic #멜로가체질 #智异山 #지리산 #jirisan #60일지정생존자 #마더 #motherdrama#연애빠진로맨스 #nothingserious #kdrama #kdramas#kmovie #kmovies#kactor #kactors
7,2022-05-29,0,"조회 133,837회","['#범죄도시2', '#절찬상영중', '#손석구', '#SONSukku']",손석구 배우의 600만 감사 인사 영상 도착💌해외 촬영 중에도 감사 인사는 잊지 않았석구❣건강하게 돌아와서 무대인사로 만나요👋#범죄도시2 #절찬상영중 #손석구 #SONSukku
8,2022-05-31,"좋아요 2,326개",0,"['#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#DonLEE', '#SONSukku', '#최귀화', '#박지환', '#허동원', '#하준', '#정재광']",<범죄도시2> 700만🌈관객🥰 돌파❤️‍🔥1편을 뛰어넘은🙇‍♀️흥행🙇‍♂️신기록🙇감사함을 5:5로 나눠 드려야겠는걸😆#범죄도시2 #절찬상영중 #마동석 #손석구 #DonLEE #SONSukku #최귀화 #박지환 #허동원 #하준 #정재광
9,2022-06-03,0,0,"['#오랫만에', '#영화관데이트', '#부부끼리', '#아이들등교', '#등원', '#조조영화🎬', '#조조영화', '#깜놀😲', '#범죄도시2', '#마동석👍', '#매력있음👍', '#실제로만나고싶음', '#잔인한데재미있었음', '#꼬꼬무', '#해방일지']",#오랫만에#영화관데이트#부부끼리#아이들등교 #등원 시키고#조조영화🎬#조조영화 보는 사람들 많아서 #깜놀😲#범죄도시2 #마동석👍 #매력있음👍#실제로만나고싶음 ㅋㅋ#잔인한데재미있었음#꼬꼬무 에 나왔던 이야기 각색한듯#해방일지 에 나온 배우도 연기 넘 잘함
10,2022-06-03,좋아요 1개,0,[],죽을 것 같으면 벨 눌러.
